jogo,time,adversario,tempo,torre,inibidor,barao,dragao,arauto,ama,ouro,lado/status
Jogo 5,GEN,BLG,33:42,4,0,0,2,1,6/14/14,56075,DERROTA TIME VERMELHO
Jogo 1,NRG,WB,39:12,4,0,1,3,2,6/9/13,65145,DERROTA TIME AZUL
Jogo 1,WB,NRG,39:12,10,2,2,3,0,9/6/22,68702,VITÓRIA TIME VERMELHO
Jogo 2,NRG,WB,33:23,1,0,1,1,1,9/20/21,53863,DERROTA TIME AZUL
Jogo 2,WB,NRG,33:23,8,1,1,4,1,20/9/52,63958,VITÓRIA TIME VERMELHO
Jogo 3,NRG,WB,26:23,0,0,0,0,0,7/19/18,40879,DERROTA TIME AZUL
Jogo 3,WB,NRG,26:23,8,1,1,4,2,19/8/37,54118,VITÓRIA TIME VERMELHO
Jogo 1,G2,BLG,34:22,2,0,0,1,1,3/16/7,54139,DERROTA TIME AZUL
Jogo 1,BLG,G2,34:22,9,1,2,4,1,16/3/38,67923,VITÓRIA TIME VERMELHO
Jogo 2,G2,BLG,43:57,8,1,1,6,1,21/20/50,83973,VITÓRIA TIME AZUL
Jogo 2,BLG,G2,43:57,6,0,2,0,1,20/21/48,79461,DERROTA TIME VERMELHO
Jogo 3,BLG,G2,29:7,11,3,1,4,2,16/5/41,57612,VITÓRIA TIME AZUL
Jogo 3,G2,BLG,29:7,2,0,0,0,0,5/16/8,46889,DERROTA TIME VERMELHO
Jogo 1,FNC,WB,28:23,10,1,1,4,0,13/5/34,54145,VITÓRIA TIME AZUL
Jogo 1,WB,FNC,28:23,2,0,0,0,2,4/13/8,44535,DERROTA TIME VERMELHO
Jogo 2,WB,FNC,30:42,10,2,2,2,1,18/8/50,63375,VITÓRIA TIME AZUL
Jogo 2,FNC,WB,30:42,1,0,0,3,1,8/18/19,48797,DERROTA TIME VERMELHO
Jogo 3,FNC,WB,23:38,3,0,0,0,2,6/17/14,40109,DERROTA TIME AZUL
Jogo 3,WB,FNC,23:38,9,2,1,3,0,17/6/40,48431,VITÓRIA TIME VERMELHO
Jogo 1,KT,DK,34:24,11,3,2,1,0,15/9/33,70428,VITÓRIA TIME AZUL
Jogo 1,DK,KT,34:24,1,0,0,4,2,9/15/26,55247,DERROTA TIME VERMELHO
Jogo 2,DK,KT,43:25,5,0,2,3,2,15/15/40,77706,DERROTA TIME AZUL
Jogo 2,KT,DK,43:25,9,1,1,3,0,15/15/42,80521,VITÓRIA TIME VERMELHO
Jogo 1,T1,BLG,28:44,10,2,1,3,2,13/3/26,57171,VITÓRIA TIME AZUL
Jogo 1,BLG,T1,28:44,0,0,0,0,0,3/13/8,43806,DERROTA TIME VERMELHO
Jogo 2,BLG,T1,31:1,2,0,0,1,1,6/16/5,49962,DERROTA TIME AZUL
Jogo 2,T1,BLG,31:1,9,1,1,4,1,16/6/46,59557,VITÓRIA TIME VERMELHO
Jogo 1,NRG,G2,31:3,10,2,1,4,2,23/3/61,62010,VITÓRIA TIME AZUL
Jogo 1,G2,NRG,31:3,1,0,0,0,0,3/23/7,48341,DERROTA TIME VERMELHO
Jogo 2,G2,NRG,28:29,2,0,0,0,2,7/20/20,46160,DERROTA TIME AZUL
